"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 03:48:49 UTC 2024","Thu Feb 29 03:48:51 UTC 2024","1912","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Feb 29 03:01:23 UTC 2024","Thu Feb 29 03:01:26 UTC 2024","2768","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Feb 29 03:04:33 UTC 2024","Thu Feb 29 03:04:35 UTC 2024","2191","","6. Company Account","","","","6. Review Review Page",""
"passed","Thu Feb 29 03:20:39 UTC 2024","Thu Feb 29 03:20:40 UTC 2024","1463","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Feb 29 02:39:59 UTC 2024","Thu Feb 29 02:40:06 UTC 2024","7555","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Thu Feb 29 03:01:12 UTC 2024","Thu Feb 29 03:01:23 UTC 2024","10353","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Feb 29 03:47:52 UTC 2024","Thu Feb 29 03:48:06 UTC 2024","14168","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Feb 29 04:01:14 UTC 2024","Thu Feb 29 04:01:28 UTC 2024","14224","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"skipped","Thu Feb 29 04:26:51 UTC 2024","Thu Feb 29 04:26:51 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Feb 29 02:57:43 UTC 2024","Thu Feb 29 02:57:46 UTC 2024","3205","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Feb 29 02:39:42 UTC 2024","Thu Feb 29 02:39:59 UTC 2024","16863","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"skipped","Thu Feb 29 04:26:51 UTC 2024","Thu Feb 29 04:26:51 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Feb 29 04:03:20 UTC 2024","Thu Feb 29 04:03:38 UTC 2024","18090","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Feb 29 04:08:07 UTC 2024","Thu Feb 29 04:08:08 UTC 2024","1680","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Thu Feb 29 03:48:38 UTC 2024","Thu Feb 29 03:48:49 UTC 2024","10448","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Feb 29 03:59:36 UTC 2024","Thu Feb 29 03:59:39 UTC 2024","2404","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Thu Feb 29 04:26:51 UTC 2024","Thu Feb 29 04:26:51 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Feb 29 03:59:26 UTC 2024","Thu Feb 29 03:59:36 UTC 2024","9743","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Feb 29 03:01:37 UTC 2024","Thu Feb 29 03:01:39 UTC 2024","2320","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Feb 29 03:03:57 UTC 2024","Thu Feb 29 03:04:05 UTC 2024","7905","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Feb 29 03:20:20 UTC 2024","Thu Feb 29 03:20:33 UTC 2024","13469","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Feb 29 04:05:03 UTC 2024","Thu Feb 29 04:05:19 UTC 2024","15990","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Feb 29 03:16:04 UTC 2024","Thu Feb 29 03:16:06 UTC 2024","1218","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Feb 29 02:57:46 UTC 2024","Thu Feb 29 02:58:41 UTC 2024","54861","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Thu Feb 29 04:06:14 UTC 2024","Thu Feb 29 04:06:18 UTC 2024","3550","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Thu Feb 29 03:01:00 UTC 2024","Thu Feb 29 03:01:08 UTC 2024","8016","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Feb 29 02:30:02 UTC 2024","Thu Feb 29 02:30:18 UTC 2024","16205","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Feb 29 02:55:23 UTC 2024","Thu Feb 29 02:55:30 UTC 2024","7186","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Feb 29 03:04:09 UTC 2024","Thu Feb 29 03:04:20 UTC 2024","10163","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Feb 29 03:04:35 UTC 2024","Thu Feb 29 03:04:44 UTC 2024","9092","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Feb 29 02:55:02 UTC 2024","Thu Feb 29 02:55:23 UTC 2024","20969","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Feb 29 02:40:06 UTC 2024","Thu Feb 29 02:40:11 UTC 2024","4908","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Feb 29 03:18:35 UTC 2024","Thu Feb 29 03:18:36 UTC 2024","250","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Thu Feb 29 04:07:57 UTC 2024","Thu Feb 29 04:08:01 UTC 2024","3931","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Feb 29 04:08:09 UTC 2024","Thu Feb 29 04:08:47 UTC 2024","38337","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Feb 29 03:48:13 UTC 2024","Thu Feb 29 03:48:16 UTC 2024","2792","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Feb 29 02:29:07 UTC 2024","Thu Feb 29 02:29:31 UTC 2024","23978","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"skipped","Thu Feb 29 04:26:51 UTC 2024","Thu Feb 29 04:26:51 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Feb 29 02:40:11 UTC 2024","Thu Feb 29 02:40:32 UTC 2024","20508","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Feb 29 04:01:35 UTC 2024","Thu Feb 29 04:01:44 UTC 2024","9388","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Feb 29 02:42:00 UTC 2024","Thu Feb 29 02:42:00 UTC 2024","406","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Feb 29 03:04:20 UTC 2024","Thu Feb 29 03:04:23 UTC 2024","2974","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Feb 29 03:01:08 UTC 2024","Thu Feb 29 03:01:12 UTC 2024","4543","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Feb 29 04:05:47 UTC 2024","Thu Feb 29 04:06:14 UTC 2024","26857","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Feb 29 04:06:49 UTC 2024","Thu Feb 29 04:07:56 UTC 2024","67548","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Thu Feb 29 02:41:46 UTC 2024","Thu Feb 29 02:41:58 UTC 2024","11747","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Feb 29 03:42:07 UTC 2024","Thu Feb 29 03:42:10 UTC 2024","2790","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Feb 29 02:35:56 UTC 2024","Thu Feb 29 02:36:06 UTC 2024","10298","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Feb 29 03:00:44 UTC 2024","Thu Feb 29 03:01:00 UTC 2024","16147","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Feb 29 03:16:17 UTC 2024","Thu Feb 29 03:16:18 UTC 2024","811","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Thu Feb 29 04:06:46 UTC 2024","Thu Feb 29 04:06:49 UTC 2024","3259","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Feb 29 04:01:35 UTC 2024","Thu Feb 29 04:01:35 UTC 2024","332","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Thu Feb 29 02:36:31 UTC 2024","Thu Feb 29 02:36:36 UTC 2024","5914","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Feb 29 03:18:33 UTC 2024","Thu Feb 29 03:18:35 UTC 2024","2159","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Feb 29 03:59:12 UTC 2024","Thu Feb 29 03:59:26 UTC 2024","14636","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Thu Feb 29 03:45:41 UTC 2024","Thu Feb 29 03:46:25 UTC 2024","44404","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Feb 29 03:48:10 UTC 2024","Thu Feb 29 03:48:13 UTC 2024","3190","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Feb 29 02:32:24 UTC 2024","Thu Feb 29 02:32:29 UTC 2024","5416","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Feb 29 03:48:20 UTC 2024","Thu Feb 29 03:48:22 UTC 2024","2405","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Feb 29 02:54:19 UTC 2024","Thu Feb 29 02:54:42 UTC 2024","22844","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Feb 29 02:54:42 UTC 2024","Thu Feb 29 02:55:02 UTC 2024","19606","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Feb 29 04:05:27 UTC 2024","Thu Feb 29 04:05:27 UTC 2024","18","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Feb 29 03:42:05 UTC 2024","Thu Feb 29 03:42:07 UTC 2024","2730","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Feb 29 02:54:04 UTC 2024","Thu Feb 29 02:54:19 UTC 2024","15349","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Feb 29 03:18:36 UTC 2024","Thu Feb 29 03:18:52 UTC 2024","16633","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Feb 29 03:06:35 UTC 2024","Thu Feb 29 03:07:44 UTC 2024","68666","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Feb 29 02:58:41 UTC 2024","Thu Feb 29 02:58:45 UTC 2024","3296","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Feb 29 02:28:40 UTC 2024","Thu Feb 29 02:28:56 UTC 2024","16374","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
